"filename", "language", "C#", "XML", "comment", "blank", "total"
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\CS-Coursework.csproj", "XML", 0, 30, 0, 0, 30
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Engine\Game1.cs", "C#", 50, 0, 1, 15, 66
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Engine\GameObject.cs", "C#", 8, 0, 0, 5, 13
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Engine\Gamestate.cs", "C#", 29, 0, 0, 4, 33
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Engine\GamestateManager.cs", "C#", 25, 0, 0, 3, 28
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Engine\Program.cs", "C#", 2, 0, 0, 0, 2
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Gamestates\Gameplay\BoundingBox.cs", "C#", 20, 0, 0, 5, 25
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Gamestates\Gameplay\EditorObject.cs", "C#", 33, 0, 2, 8, 43
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Gamestates\Gameplay\GameplayGrid.cs", "C#", 20, 0, 3, 9, 32
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Gamestates\Gameplay\GameplayObjectManager.cs", "C#", 59, 0, 12, 13, 84
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Gamestates\Gameplay\LevelGameplay.cs", "C#", 63, 0, 6, 19, 88
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Gamestates\LevelBrowser.cs", "C#", 70, 0, 0, 18, 88
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\Grid.cs", "C#", 43, 0, 7, 12, 62
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\LevelEditor.cs", "C#", 64, 0, 7, 20, 91
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\LevelObjectManager.cs", "C#", 47, 0, 11, 11, 69
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\ObjectSelector.cs", "C#", 35, 0, 4, 10, 49
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Gamestates\MainMenu.cs", "C#", 50, 0, 3, 16, 69
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Objects\Button.cs", "C#", 49, 0, 5, 9, 63
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Objects\ButtonBar.cs", "C#", 35, 0, 4, 9, 48
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Objects\CellLabel.cs", "C#", 17, 0, 0, 6, 23
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Objects\Highlighter.cs", "C#", 17, 0, 0, 6, 23
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Objects\LevelObjects\BasicSurface.cs", "C#", 5, 0, 0, 3, 8
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Objects\LevelObjects\Door.cs", "C#", 10, 0, 2, 3, 15
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Objects\LevelObjects\IceSurface.cs", "C#", 8, 0, 1, 3, 12
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Objects\LevelObjects\Key.cs", "C#", 14, 0, 2, 4, 20
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Objects\LevelObjects\LevelObject.cs", "C#", 47, 0, 1, 12, 60
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Objects\LevelObjects\SpringSurface.cs", "C#", 16, 0, 0, 5, 21
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Objects\Player\PlayerCharacter.cs", "C#", 126, 0, 19, 22, 167
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Testing\TestGameObject.cs", "C#", 24, 0, 0, 3, 27
"c:\Dev\Monogame\CS-Coursework 2\CS-Coursework\CS-Coursework\Testing\TestGamestate.cs", "C#", 27, 0, 0, 2, 29
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\CS-Coursework.csproj", "XML", 0, -30, 0, 0, -30
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\Game1.cs", "C#", -49, 0, -1, -15, -65
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\GameObject.cs", "C#", -8, 0, 0, -5, -13
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\Gamestate.cs", "C#", -29, 0, 0, -4, -33
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\GamestateManager.cs", "C#", -25, 0, 0, -3, -28
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\Program.cs", "C#", -2, 0, 0, 0, -2
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\BoundingBox.cs", "C#", -20, 0, 0, -5, -25
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\GameplayGrid.cs", "C#", -20, 0, -3, -9, -32
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\GameplayObjectManager.cs", "C#", -26, 0, -5, -9, -40
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\LevelGameplay.cs", "C#", -61, 0, -5, -19, -85
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelBrowser.cs", "C#", -70, 0, 0, -18, -88
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\Grid.cs", "C#", -43, 0, -7, -12, -62
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\LevelEditor.cs", "C#", -64, 0, -7, -19, -90
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\LevelObjectManager.cs", "C#", -48, 0, -9, -10, -67
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\ObjectSelector.cs", "C#", -35, 0, -4, -10, -49
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\MainMenu.cs", "C#", -50, 0, -3, -16, -69
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\Button.cs", "C#", -49, 0, -5, -9, -63
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\ButtonBar.cs", "C#", -35, 0, -4, -9, -48
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\CellLabel.cs", "C#", -17, 0, 0, -6, -23
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\Highlighter.cs", "C#", -17, 0, 0, -6, -23
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\LevelObjects\BasicSurface.cs", "C#", -5, 0, 0, -3, -8
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\LevelObjects\LevelObject.cs", "C#", -35, 0, -1, -9, -45
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\PlayerCharacter.cs", "C#", -108, 0, -14, -17, -139
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Testing\TestGameObject.cs", "C#", -24, 0, 0, -3, -27
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Testing\TestGamestate.cs", "C#", -27, 0, 0, -2, -29
"Total", "-", 146, 0, 22, 37, 205
